Date,Close,High,Low,Open,Volume
2015-01-02,171.09365844726562,172.30131021253493,170.0525881036736,171.88488207509812,121465900
2015-01-05,168.00381469726562,170.21087934548927,167.69566185802958,170.0443105866693,169632600
2015-01-06,166.42137145996094,168.83664992952563,165.6218237266185,168.31194633238277,209151400
2015-01-07,168.49525451660156,168.8367288492274,167.30427541141495,167.7540124846303,125346700
2015-01-08,171.48516845703125,171.70171930589183,169.8944220131094,169.91106999503472,147217800
2015-01-09,170.1109161376953,171.91821296284297,169.49459783958483,171.90155227684542,158567300
2015-01-12,168.77833557128906,170.40241563326305,168.1703539893546,170.24417089217803,144396100
2015-01-13,168.30364990234375,171.1353570343657,166.99605904404427,170.0026716398805,214553300
2015-01-14,167.2875213623047,167.48741145462148,165.38028597641704,166.27975962089525,192991100
2015-01-15,165.75506591796875,168.2452981446469,165.63846654322506,167.9288213894162,176613900
2015-01-16,167.9289093017578,168.08715411640515,165.36370900611215,165.54693850640007,211879600
2015-01-20,168.28700256347656,168.8366909694912,166.71290409780426,168.57017075746597,130991100
2015-01-21,169.13648986816406,169.61954813553254,167.35417756847113,167.82057514844598,122942700
2015-01-22,171.65170288085938,171.78495024164462,168.5118308087013,169.89437543243324,174356000
2015-01-23,170.71054077148438,171.65167236864735,170.57728072600727,171.39347626489396,117516800
2015-01-26,171.1103057861328,171.20192047755896,169.77774347528913,170.49400032415434,92009700
2015-01-27,168.85330200195312,170.002635130252,168.0204456468829,169.04485540527304,134044600
2015-01-28,166.68789672851562,170.144246064734,166.4963432949344,170.04430735301884,168514300
2015-01-29,168.22866821289062,168.48685166263186,165.47190286365282,166.8877689053229,173585400
2015-01-30,166.1132049560547,168.37857536051064,165.84669751879048,167.0460127574295,197729700
2015-02-02,168.17039489746094,168.26200962730215,164.7889993006753,166.61295719854306,163107000
2015-02-03,170.60227966308594,170.6106163593613,168.69504434765963,169.06982713707598,124212900
2015-02-04,169.9526824951172,171.05205909194265,169.4946089131066,169.83608310227638,134306700
2015-02-05,171.66836547851562,171.81828624618925,170.54401690867692,170.61897093832337,97953200
2015-02-06,171.1936492919922,172.60117875422168,170.66894565122752,172.0348297484409,125672000
2015-02-09,170.4274444580078,171.2686250210208,170.01934016255925,170.54404386979556,87219000
2015-02-10,172.24301147460938,172.501194897424,170.46902346724863,171.46846120616547,96164200
2015-02-11,172.3429718017578,172.7760606957682,171.42683737057396,172.07646435739935,91087800
2015-02-12,174.0003662109375,174.05867226185782,172.3762986918962,173.1425250929726,97545900
2015-02-13,174.71665954589844,174.7666289094193,173.86714224089354,174.12533846639033,93670400
2015-02-17,174.991455078125,175.16636051017983,174.1502747066114,174.40012145471852,76968200
2015-02-18,175.00814819335938,175.08310223168058,174.3501844124095,174.61670460428343,80652900
2015-02-19,174.8831787109375,175.24963755063357,174.2668731245212,174.40845718378927,91462500
2015-02-20,175.93264770507812,176.00760175543377,173.84216932811984,174.46681183118528,140896400
2015-02-23,175.90765380859375,175.90765380859375,175.29965932074998,175.68277896092027,74411100
2015-02-24,176.4073028564453,176.60719295704405,175.53280114034766,175.83262993705603,72472300
2015-02-25,176.2574005126953,176.76544341498254,175.9159263454377,176.28238518753076,73061700
2015-02-26,176.04917907714844,176.3240231972597,175.44118479248743,176.165778457646,72697900
2015-02-27,175.44956970214844,176.21579622859966,175.39960034082944,175.94927602372124,108076000
2015-03-02,176.55723571777344,176.6155290583755,175.499504514013,175.54947386549486,87491400
