Date,IWM,QQQ,SPY
2023-01-05,167.82034301757812,257.2783203125,365.7624206542969
2023-01-06,171.5887451171875,264.37957763671875,374.1501159667969
2023-01-09,171.8786163330078,266.09100341796875,373.93804931640625
2023-01-10,174.41989135742188,268.34326171875,376.5603942871094
2023-01-11,176.5939483642578,272.98565673828125,381.3231201171875
2023-01-12,179.56040954589844,274.4610290527344,382.7114562988281
2023-01-13,180.73922729492188,276.3494567871094,384.1961669921875
2023-01-17,180.51702880859375,276.9100646972656,383.49237060546875
2023-01-18,177.59889221191406,273.3102722167969,377.43780517578125
2023-01-19,175.8982696533203,270.6251525878906,374.6900329589844
2023-01-20,178.7970428466797,278.03131103515625,381.6701965332031
2023-01-23,181.00979614257812,284.20806884765625,386.2497253417969
2023-01-24,180.62326049804688,283.6277160644531,385.83514404296875
2023-01-25,181.12574768066406,282.998291015625,385.97979736328125
2023-01-26,182.19830322265625,288.5159606933594,390.2218933105469
2023-01-27,183.1838836669922,291.38800048828125,391.1184387207031
2023-01-30,180.63294982910156,285.49652099609375,386.211181640625
2023-01-31,185.019775390625,289.7749938964844,391.8897705078125
2023-02-01,187.92823791503906,295.9713439941406,396.05462646484375
2023-02-02,191.62904357910156,306.5937194824219,401.8200378417969
2023-02-03,190.3438720703125,301.1448669433594,397.54901123046875
2023-02-06,187.5900421142578,298.59747314453125,395.1194763183594
2023-02-07,188.9814453125,304.78399658203125,400.2870788574219
2023-02-08,186.21792602539062,299.3646240234375,395.9100341796875
2023-02-09,183.52207946777344,296.7188415527344,392.47784423828125
2023-02-10,183.88925170898438,294.77142333984375,393.3937072753906
2023-02-13,186.10195922851562,299.49249267578125,398.0117492675781
2023-02-14,186.0150146484375,301.7054748535156,397.8286437988281
2023-02-15,187.89923095703125,304.0168151855469,399.1205139160156
2023-02-16,186.10195922851562,298.3122253417969,393.62506103515625
2023-02-17,186.61410522460938,296.2074890136719,392.6417541503906
2023-02-21,181.10641479492188,289.1946716308594,384.7650451660156
2023-02-22,181.5991973876953,289.4110107421875,384.2347412109375
2023-02-23,182.89401245117188,291.93878173828125,386.27862548828125
2023-02-24,181.18370056152344,287.050537109375,382.15228271484375
2023-02-27,181.82142639160156,289.1061706542969,383.45379638671875
2023-02-28,181.83111572265625,288.7323913574219,382.03656005859375
2023-03-01,182.06298828125,286.41119384765625,380.5711364746094
2023-03-02,182.49783325195312,288.78155517578125,383.5309143066406
2023-03-03,185.0391082763672,294.7518005371094,389.6819763183594
2023-03-06,182.3335723876953,295.0861511230469,389.951904296875
2023-03-07,180.21743774414062,291.46673583984375,383.97442626953125
2023-03-08,180.30441284179688,292.92236328125,384.60107421875
2023-03-09,175.28952026367188,287.8471374511719,377.5052795410156
2023-03-10,170.2359619140625,283.80474853515625,372.05810546875
2023-03-13,167.46279907226562,285.9095764160156,371.52777099609375
2023-03-14,170.56448364257812,292.479736328125,377.6691589355469
2023-03-15,167.752685546875,294.0140686035156,375.30706787109375
